Wavelength /nm, EQE /%
305.6937849530442, 1.081370577474459
317.2544054025536, 1.0038377207208384
328.81502585206294, 1.0762017203575596
339.3246808061623, 1.7866324152038402
347.2069220217369, 3.1372219617117594
352.46174949878656, 4.560011417154271
356.6656114804263, 5.910375338946764
360.97457001160706, 7.186824603967452
362.97140445288596, 8.61584130155559
369.8026801730506, 11.644446981589823
371.4842249657065, 13.399446268017684
374.00654215469035, 16.53039531896674
372.9555766592804, 14.718538604252885
376.2252470894446, 19.294929832072683
374.00654215469035, 18.035221920936195
376.9492455418382, 21.287466818895382
378.84098343357607, 23.084161552732965
380.31233512715, 24.86948480091337
380.8378178748549, 26.50697873555015
383.4652316133798, 28.767061509918648
384.7789384826422, 30.458570001427134
385.56716260419967, 32.0031968031968
386.61812809960963, 33.15929784501212
387.66909359501955, 34.865020693592115
393.18666244592174, 39.90434871251199
391.61021420280684, 37.1535321821036
392.9239210720693, 38.63656343656342
398.17874854911895, 41.61968317396888
400.28067953993883, 42.961518481518475
403.258415110267, 44.132781504210065
407.11195526010346, 45.611074639646056
411.84129998944815, 46.95290994719565
417.62161021420286, 48.141230198373044
423.9274031866625, 49.4299985728557
430.7586789068271, 50.68763073661032
438.64092012240167, 51.943570714999275
446.5231613379762, 53.32743990703173
455.45636804896066, 54.605919794491214
466.49150575076504, 55.80406087419073
478.84035032183186, 56.733809048094756
489.61274664978373, 57.737213435914725
501.17336709929305, 58.88986857298544
512.7339875488024, 59.73239228304163
524.644929830115, 60.116036344607764
535.8552284478211, 60.22343370914798
547.4158488973304, 60.19242056644653
558.9764693468397, 60.016679424471626
570.5370897963492, 59.75306771150926
582.0977102458585, 59.324052570805804
593.6583306953678, 58.65727000272454
605.2189511448771, 58.011162863110904
616.7795715943864, 57.22549658134073
628.3401920438957, 56.527700870558
639.9008124934052, 55.907438016528914
651.4614329429145, 55.2148111628631
661.9710878970138, 54.60718329289757
676.159122085048, 53.91794491223062
691.3981217684922, 53.28682745825602
702.9587422180015, 53.152437173216384
714.5193626675109, 52.69757774692839
726.0799831170202, 52.0204574646133
737.6406035665295, 51.40536346770112
749.2012240160389, 50.63520375728167
760.2363617178432, 49.63089481946624
769.1695684288277, 48.49455850272176
775.4753614012874, 47.18033966033965
780.7301888783371, 45.82713286713285
785.4595336076818, 44.616069644641065
788.987774913701, 43.16620522334807
792.2908093278464, 41.8490081347224
796.6698322253878, 40.389667475381756
798.8067953993881, 38.765440274011695
801.2240160388309, 37.338318824033095
803.3259470296508, 35.817382617382606
805.5329745700117, 34.307817896389324
807.1794871794872, 32.80867703724846
809.1062572544055, 30.90774368488654
810.6827054975204, 29.321421435707137
812.2591537406353, 27.735099186527748
813.7305054342091, 26.222691594120164
815.9375329745701, 24.548556205699057
817.6891421335865, 22.598030540887677
819.0904294607999, 20.906522049379177
820.6668777039148, 19.38842871414299
821.5426822834231, 17.959412016554865
822.9790017938167, 16.3067561010418
824.8707396855546, 14.630815714897352
826.4471879286695, 13.08862566005422
828.5491189194894, 11.465481457318191
830.6510499103092, 9.658227486798907
833.1283257209184, 7.892037214486194
835.3803946396539, 6.186133866133858
839.2339347894904, 4.787441130298262
844.8390840983434, 3.3432624518338656
853.2468080616229, 2.177168286259189
851.1448770708031, 8.44526901669758
864.6906545671978, 1.4833927976785048
876.3680489606415, 1.086539434591387
887.928669410151, 1.0296820063053786
897.9128416165454, 0.8784929356357907
1646.7257570961274, 0.000000000000000
1658.2863775456367, 0.000000000000000
1669.846997995146, 0.000000000000000
1681.4076184446558, 0.000000000000000
1692.968238894165, 0.000000000000000
1699.7995146143294, 0.000000000000000
